,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
4530,1948.0,28,M,"Treading water, waiting for a wave",,AUSTRALIA,Y,"treading water, waiting for a wave",m,28,
4532,1948.0,14,M,"2 messboys (Jeppsen) & Tony Latona (13) were playing on the afterdeck of the Danish ship Grete Maersk. Jeppsen fell overboard, Latona threw a lifebelt then jumped in to help him. Ship didnt notice they were missing",,CUBA,N,"2 messboys (jeppsen) & tony latona (13) were playing on the afterdeck of the danish ship grete maersk. jeppsen fell overboard, latona threw a lifebelt then jumped in to help him. ship didnt notice they were missing",m,14,
4535,1948.0,41,M,Pearl diving,,AUSTRALIA,N,pearl diving,m,41,
4536,1948.0,17,M,Swimming,Said to be 6.4 m [21'] shark,GREECE,Y,swimming,m,17,said to be 6.4 m [21'] shark
4541,1948.0,60,F,Bathing or washing,,IRAN,Y,bathing,f,60,
4543,1948.0,15,M,Swimming,,IRAN,N,swimming,m,15,
4544,1948.0,41,M,Spearing a shark,"Lemon shark, 4'",BAHAMAS,N,spearing a shark,m,41,"lemon shark, 4'"
4545,1948.0,46,M,Swimming,,USA,Y,swimming,m,46,
4547,1948.0,38,M,"Fishing, shark caught in his net",,IRAN,N,fishing,m,38,
4551,1948.0,30,M,Spearfishing,"""grey shark""",PAPUA NEW GUINEA,N,spearfishing,m,30,"""grey shark"""
4553,1948.0,16,M,Swimming,3.7 m [12'] shark,AUSTRALIA,Y,swimming,m,16,3.7 m [12'] shark
4555,1948.0,48,M,Underwater photography,Nurse shark,USA,N,underwater photography,m,48,Nurse shark
4559,1947.0,9,M,Fishing,Grey nurse shark,AUSTRALIA,N,fishing,m,9,Nurse shark
4563,1947.0,17,M,Fishing from surf ski,,AUSTRALIA,N,fishing,m,17,
4564,1947.0,16,M,Fishing from surf ski,,AUSTRALIA,N,fishing,m,16,
4565,1947.0,12,M,Swimming,,AUSTRALIA,Y,swimming,m,12,
4566,1947.0,13,M,Swimming,,AUSTRALIA,N,swimming,m,13,
4569,1947.0,25,M,Swimming ,,BRAZIL,Y,swimming,m,25,
4570,1947.0,20,M,Swimming,Possibly C. leucas,USA,Y,swimming,m,20,possibly c. leucas
4571,1947.0,46,M,Fishing,a small shark,USA,N,fishing,m,46,a small shark
4573,1947.0,20,M,Swimming,,SOUTH AFRICA,N,swimming,m,20,
4575,1947.0,35,M,Fishing,,USA,N,fishing,m,35,
4578,1947.0,21,M,Treading water,"1.5 m, 45-kg shark",SOUTH AFRICA,N,treading water,m,21,"1.5 m, 45-kg shark"
4579,1947.0,14,M,Body surfing,,SOUTH AFRICA,N,surfing,m,14,
4580,1947.0,17,M,Surfing,,AUSTRALIA,N,surfing,m,17,
4581,1947.0,29,M,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",,PACIFIC OCEAN,N,"moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",m,29,
4582,1947.0,18,M,Wading,,SOUTH AFRICA,N,wading,m,18,
4583,1947.0,22,M,Treading water,"Blacktip shark, 2 m [6.75'] ",SOUTH AFRICA,N,treading water,m,22,Blacktip shark
4588,1947.0,18,M,Treading water,>1.6 m shark,SOUTH AFRICA,N,treading water,m,18,>1.6 m shark
4589,1946.0,23,M,Swimming near jetty with 2' piece of wood,,AUSTRALIA,N,swimming,m,23,
4591,1946.0,30,M,Pearl diving from lugger,,AUSTRALIA,Y,pearl diving from lugger,m,30,
4593,1946.0,15,M,Swimming,,AUSTRALIA,N,swimming,m,15,
4594,1946.0,15,M,Fishing,,ISRAEL,N,fishing,m,15,
